Wall time,Step,Value
1693146137.8853612,0,0.0032366218511015177
1693146139.5817857,1,0.00264876801520586
1693146143.005767,3,0.008800231851637363
1693146144.677807,4,0.0015102936886250973
1693146146.4439433,5,0.0028079990297555923
1693146148.1535537,6,0.008086388930678368
1693146149.8724692,7,0.009877082891762257
1693146151.5498297,8,0.0005735319573432207
1693146154.94033,10,0.0014271966647356749
1693146156.6425047,11,0.0029076309874653816
1693146158.3198485,12,0.0005945779848843813
1693146159.9854722,13,0.0013120478251948953
1693146161.6486824,14,0.0042940471321344376
1693146163.594142,15,0.00538923405110836
1693146165.2655725,16,0.00041188494651578367
1693146168.7820768,18,0.001762131811119616
1693146172.3923566,20,0.002150728367269039
1693146177.7225742,23,0.012769506312906742
1693146179.4465833,24,0.0011350754648447037
1693146181.2577538,25,0.0034725614823400974
1693146182.9383464,26,0.0036082565784454346
1693146184.6289732,27,0.009074126370251179
1693146186.4570646,28,0.000652303162496537
1693146188.1674538,29,0.0012217344483360648
1693146194.9920928,33,0.0011833666358143091
1693146196.7168243,34,0.0011862744577229023
1693146198.4858575,35,0.0029450231231749058
1693146200.2149537,36,0.0009153103455901146
1693146201.8400424,37,0.0015453653177246451
1693146205.1570637,39,0.001501064165495336
1693146208.7003226,41,0.0011333390139043331
1693146210.6323287,42,0.0014189258217811584
1693146212.3169532,43,0.0033412124030292034
1693146214.4331713,44,0.0006371503695845604
1693146218.4193082,46,0.0061271642334759235
1693146220.1814024,47,0.005969610996544361
1693146222.1168566,48,0.0006351713091135025
1693146224.0516565,49,0.0015556402504444122
1693146227.4802532,51,0.004593174438923597
1693146229.258591,52,0.04284307360649109
1693146231.029773,53,0.008867800235748291
1693146236.4046588,56,0.00049691490130499
1693146239.7243807,58,0.0013353527756407857
1693146243.083872,60,0.0010684457374736667
1693146246.3665879,62,0.0044328817166388035
1693146249.8697696,64,0.0009986853692680597
1693146255.1198046,67,0.0019230705220252275
1693146258.5664344,69,0.0051588090136647224
1693146260.2205164,70,0.013582981191575527
1693146261.90204,71,0.016573749482631683
1693146265.2258856,73,0.0011184418108314276
1693146266.8594851,74,0.0013603719417005777
1693146268.5075505,75,0.005222488194704056
1693146270.2031498,76,0.0008418628131039441
1693146273.6671839,78,0.005497063044458628
1693146277.1295762,80,0.0007421450573019683
1693146278.8952072,81,0.0009793167700991035
1693146280.5813985,82,0.0012369563337415457
1693146282.3075817,83,0.006173404864966869
1693146285.6919637,85,0.0018041428411379457
1693146287.3924515,86,0.006666189059615135
1693146290.8537657,88,0.0013729471247643232
1693146292.4974172,89,0.0013912995345890522
1693146294.1634133,90,0.003205425338819623
1693146297.6060715,92,0.0013793479884043336
1693146299.2968986,93,0.002164672827348113
1693146300.9482884,94,0.0014616354601457715
1693146302.5856493,95,0.0037507929373532534
