Wall time,Step,Value
1693152671.5297303,0,0.8569590449333191
1693152673.9898624,1,0.8749642968177795
1693152677.4007373,3,0.8624310493469238
1693152679.1972764,4,0.9878170490264893
1693152680.890128,5,0.9803193211555481
1693152682.6388426,6,0.968463122844696
1693152684.460554,7,0.9698127508163452
1693152686.3978891,8,0.9220345616340637
1693152689.8802931,10,0.9718763828277588
1693152691.5756671,11,0.9451462030410767
1693152693.2889647,12,0.8715981245040894
1693152694.9686286,13,0.9601889848709106
1693152696.76561,14,0.9679057002067566
1693152698.59852,15,0.9635969996452332
1693152700.4408386,16,0.8696469664573669
1693152703.9469244,18,0.9418026804924011
1693152707.3352544,20,0.9656586050987244
1693152712.5646565,23,0.9768303632736206
1693152714.3616004,24,0.9491285085678101
1693152716.0611665,25,0.9579246044158936
1693152717.902353,26,0.9683837294578552
1693152719.6397808,27,0.9602877497673035
1693152721.3048706,28,0.930437445640564
1693152722.9879565,29,0.9695922136306763
1693152729.7070541,33,0.9764711856842041
1693152731.3548746,34,0.9626859426498413
1693152733.005908,35,0.9548643231391907
1693152734.728523,36,0.9529579877853394
1693152736.4295096,37,0.9677501320838928
1693152740.0407746,39,0.9671489000320435
1693152743.6562243,41,0.961365282535553
1693152745.3896816,42,0.9576713442802429
1693152747.0905805,43,0.9811190962791443
1693152748.8639817,44,0.8644296526908875
1693152752.2755203,46,0.9552460312843323
1693152753.9484909,47,0.9566590785980225
1693152755.7253962,48,0.9097495079040527
1693152757.3931112,49,0.9657624363899231
1693152760.752869,51,0.9544116854667664
1693152762.416209,52,0.9983298182487488
1693152764.0776672,53,0.9884238839149475
1693152769.0292614,56,0.8738538026809692
1693152772.1907516,58,0.9568752646446228
1693152775.3622866,60,0.9721046686172485
1693152778.6237166,62,0.980345606803894
1693152781.9528592,64,0.9444394707679749
1693152786.968553,67,0.965491771697998
1693152790.441264,69,0.9738720655441284
1693152792.1691115,70,0.9707266092300415
1693152793.8303545,71,0.9720034003257751
1693152797.1861002,73,0.9395835995674133
1693152799.0138838,74,0.9418729543685913
1693152800.8104432,75,0.9407177567481995
1693152802.4717329,76,0.926374614238739
1693152805.913509,78,0.9591920375823975
1693152809.2246983,80,0.9373348951339722
1693152810.845272,81,0.9651538729667664
1693152812.4753807,82,0.9615100622177124
1693152814.1216621,83,0.9679964184761047
1693152817.451343,85,0.970465362071991
1693152819.0807235,86,0.9822988510131836
1693152822.3543608,88,0.9350293874740601
1693152823.9970071,89,0.9538878798484802
1693152825.6178548,90,0.9395482540130615
1693152828.9650466,92,0.9205572605133057
1693152830.6426294,93,0.946178138256073
1693152832.3635287,94,0.9621184468269348
1693152834.1199338,95,0.9562176465988159
1693152837.6258907,97,0.9874148964881897
1693152839.3823829,98,0.9792798757553101
1693152841.1655593,99,0.9764993786811829
1693152842.9452138,100,0.8793862462043762
1693152846.5450654,102,0.9557492733001709
1693152848.3484576,103,0.9607908129692078
1693152851.8200986,105,0.9374709725379944
1693152853.5138462,106,0.94587641954422
1693152855.2180562,107,0.967507004737854
1693152858.73213,109,0.9251894354820251
1693152860.4630892,110,0.9359707832336426
1693152862.1251922,111,0.9375611543655396
1693152867.250037,114,0.9219855666160583
1693152868.9430969,115,0.9164702296257019
1693152870.6207032,116,0.9988989233970642
1693152872.3109102,117,0.9766740798950195
1693152880.7362149,122,0.9465512037277222
1693152882.50564,123,0.9471427202224731
1693152884.2372344,124,0.8856584429740906
1693152885.9826298,125,0.9314733743667603
1693152887.6450083,126,0.9414435625076294
1693152889.2800372,127,0.9458020329475403
1693152890.9050412,128,0.8697596788406372
1693152892.5328271,129,0.952804446220398
1693152895.8476307,131,0.9481012225151062
1693152899.17834,133,0.9750354290008545
1693152900.8398764,134,0.973895251750946
1693152902.5071855,135,0.9657566547393799
1693152904.1714683,136,0.9549460411071777
1693152907.5053937,138,0.9657266139984131
1693152910.848136,140,0.9326064586639404
1693152914.3865223,142,0.9771885871887207
1693152916.15251,143,0.9552174806594849
1693152917.9102945,144,0.9438578486442566
1693152919.6694674,145,0.9310005903244019
1693152921.3546064,146,0.9515109658241272
1693152923.0809941,147,0.954014241695404
1693152924.7587614,148,0.9927262663841248
1693152926.4527216,149,0.9827514290809631
1693152928.2096815,150,0.9776290059089661
1693152929.7908247,151,0.9784060120582581
1693152931.425609,152,0.8489507436752319
1693152933.0881078,153,0.9567275643348694
1693152934.7276978,154,0.9567009210586548
1693152936.3712418,155,0.966607391834259
1693152938.0641856,156,0.8709236979484558
1693152943.164897,159,0.9736809730529785
1693152946.619709,161,0.9508139491081238
1693152951.804834,164,0.9499450922012329
1693152955.182187,166,0.9713155031204224
1693152958.5207496,168,0.8826581239700317
1693152960.197051,169,0.9554081559181213
1693152961.8769314,170,0.9611821174621582
1693152963.5481904,171,0.9601978063583374
1693152966.877589,173,0.9537457823753357
1693152968.5150142,174,0.9721871018409729
1693152970.1623192,175,0.9640080332756042
1693152973.5204556,177,0.9578315615653992
1693152975.1446216,178,0.938478410243988
1693152980.0652206,181,0.9532178044319153
1693152981.7039933,182,0.939608633518219
1693152984.9861748,184,0.8619959950447083
1693152986.6297388,185,0.960215151309967
1693152988.3037796,186,0.9555339217185974
1693152989.9826987,187,0.9516621828079224
1693152991.6900635,188,0.9388680458068848
1693152993.3675106,189,0.9451783299446106
1693153001.9791296,194,0.9512506127357483
1693153003.7982693,195,0.9643738269805908
1693153005.5407221,196,0.8315808176994324
1693153007.2983925,197,0.9113937616348267
1693153009.0593646,198,0.9009666442871094
1693153012.669376,200,0.9486750364303589
1693153014.5236928,201,0.9499800205230713
1693153017.918057,203,0.9625556468963623
1693153019.6475914,204,0.9598077535629272
1693153021.3238835,205,0.9685359597206116
1693153023.0198472,206,0.973007082939148
1693153026.3806515,208,0.8226121068000793
1693153028.076704,209,0.943235456943512
1693153029.7684693,210,0.947935938835144
1693153031.4253857,211,0.9393556118011475
1693153033.1690712,212,0.8662548661231995
1693153034.8212552,213,0.9629944562911987
1693153039.7819598,216,0.897089421749115
1693153041.4464366,217,0.9828276038169861
1693153043.1931684,218,0.9887654781341553
1693153044.8987365,219,0.9903993606567383
