Wall time,Step,Value
1694563043.7209704,0,0.0007263032021000981
1694563047.1364357,1,0.0014124251902103424
1694563050.2821023,2,0.0013821845641359687
1694563053.6245022,3,0.0010186900617554784
1694563056.6376522,4,0.001976178027689457
1694563059.6429524,5,0.0006491637323051691
1694563062.5392401,6,0.0007497569895349443
1694563065.4194784,7,0.00033749101567082107
1694563068.237937,8,0.0006402585422620177
1694563071.0954645,9,0.0008522837306372821
1694563074.006032,10,0.0009615527233108878
1694563077.0607982,11,0.0014659789158031344
1694563079.850396,12,0.0036914432421326637
1694563082.938282,13,0.0005094864754937589
1694563085.7273157,14,0.0019106519175693393
1694563088.7737732,15,0.0005347670521587133
1694563091.6235106,16,0.0005030843312852085
1694563094.733725,17,0.0008519798284396529
1694563097.6119049,18,0.0012802878627553582
1694563100.5593827,19,0.00038508587749674916
1694563103.403975,20,0.0007486916147172451
1694563106.350817,21,0.0009988130768761039
1694563109.229175,22,0.0011873197508975863
1694563112.234515,23,0.0003634620225057006
1694563115.0750375,24,0.0007445727242156863
1694563118.1154602,25,0.0008831273880787194
1694563121.0110822,26,0.007556439843028784
1694563123.9653456,27,0.014295033179223537
1694563126.8492613,28,0.0005962983705103397
1694563129.915681,29,0.0010222910204902291
1694563132.8672552,30,0.0018636963795870543
1694563135.8845482,31,0.0007077698246575892
1694563138.7382915,32,0.0011317413300275803
1694563141.6905708,33,0.002721500815823674
1694563144.5237942,34,0.0015632834983989596
1694563147.4689128,35,0.0021164093632251024
1694563150.2343287,36,0.0033314265310764313
1694563153.1500072,37,0.0007483395165763795
1694563156.006581,38,0.0009494595578871667
1694563158.8955047,39,0.0010676846140995622
1694563161.7756748,40,0.0004530572332441807
1694563164.7823193,41,0.000974202761426568
1694563167.625792,42,0.001258735079318285
1694563170.5878022,43,0.0013502620859071612
1694563173.5027938,44,0.0004332067910581827
1694563176.4808488,45,0.0007182091358117759
1694563179.3417468,46,0.0007748104981146753
1694563182.273972,47,0.0017197062261402607
1694563185.1080735,48,0.0016239550895988941
1694563188.3767188,49,0.0028159755747765303
1694563191.2473335,50,0.0005584332393482327
1694563194.4523685,51,0.0006208719569258392
1694563197.3916397,52,0.0009905565530061722
1694563200.3105416,53,0.0008372871670871973
1694563203.2771475,54,0.001208468689583242
1694563206.388859,55,0.0014639230212196708
1694563209.1798368,56,0.0004436527378857136
1694563212.1574817,57,0.0004579485103022307
1694563214.9294024,58,0.0009983857162296772
1694563217.8361948,59,0.0011913615744560957
1694563220.6994429,60,0.0007502848166041076
1694563223.6034932,61,0.0015092394314706326
1694563226.4928515,62,0.000664877297822386
1694563229.4931817,63,0.0010278436820954084
1694563232.434288,64,0.005682779476046562
1694563235.311022,65,0.005724187474697828
1694563238.2338252,66,0.000745618948712945
1694563241.2314894,67,0.0014407630078494549
1694563244.0496,68,0.00032616726821288466
1694563246.9591873,69,0.0009152769926004112
1694563249.7779448,70,0.002094127470627427
1694563252.8355947,71,0.0005634109256789088
1694563255.7132761,72,0.000826984760351479
1694563258.6760736,73,0.002464545425027609
1694563261.4935803,74,0.001966688083484769
1694563264.4122832,75,0.0009885331382974982
1694563267.2125769,76,0.0011095455847680569
1694563270.157469,77,0.003369450569152832
1694563272.9621446,78,0.002143731340765953
1694563275.8535473,79,0.00041833004797808826
1694563278.6965141,80,0.000377869262592867
1694563281.763504,81,0.0007783346227370203
1694563284.5970273,82,0.0009371504420414567
1694563287.4969823,83,0.0011492491466924548
1694563290.2839684,84,0.0003624687669798732
1694563293.340567,85,0.0006970675312913954
1694563296.093496,86,0.000858294079080224
1694563299.0329607,87,0.0010522946249693632
1694563301.7965002,88,0.003392147133126855
1694563304.6869843,89,0.0005809455178678036
1694563307.531054,90,0.001523601240478456
1694563310.448582,91,0.0016045384109020233
1694563313.359519,92,0.002094172639772296
1694563316.423693,93,0.00044466351391747594
1694563319.285734,94,0.0007703423616476357
1694563322.3473644,95,0.0008941860869526863
1694563325.2433708,96,0.001023327000439167
1694563328.3524065,97,0.001210469170473516
1694563331.3773952,98,0.0014332348946481943
1694563334.410599,99,0.001992711564525962
1694563337.3556716,100,0.0004901677020825446
1694563340.2908723,101,0.0010446757078170776
1694563343.2433314,102,0.001264137215912342
1694563346.1680071,103,0.0004155419592279941
1694563349.0550966,104,0.0006964223575778306
1694563352.1018782,105,0.0007088944548740983
1694563354.974105,106,0.0009019801509566605
1694563357.8835537,107,0.001103675807826221
1694563360.6986806,108,0.0013819050509482622
1694563363.6270802,109,0.0011184612521901727
1694563366.798281,110,0.00036965220351703465
1694563369.7296348,111,0.0007454136502929032
1694563372.5247562,112,0.0008824518299661577
1694563375.4819026,113,0.0003899742441717535
1694563378.2671518,114,0.0007535734330303967
1694563381.3240936,115,0.002888495335355401
1694563384.2513616,116,0.00840225163847208
1694563387.235078,117,0.0004042391083203256
1694563390.0735364,118,0.0007947531412355602
1694563392.9571059,119,0.001541599747724831
1694563395.7737257,120,0.001397574320435524
1694563398.847844,121,0.001964365830644965
1694563401.5989568,122,0.0006468087085522711
1694563404.521076,123,0.0009832006180658937
1694563407.4318335,124,0.0015565650537610054
1694563410.3729722,125,0.0019265160663053393
1694563413.1628904,126,0.0003408363845665008
1694563416.1027372,127,0.0009916772833094
1694563419.0840695,128,0.0011485961731523275
1694563422.1159785,129,0.0018037089612334967
1694563424.9257338,130,0.0063150194473564625
1694563427.9692469,131,0.0005692685954272747
1694563430.7671967,132,0.0008810372091829777
1694563433.7119691,133,0.0007347511127591133
1694563436.5492463,134,0.001535875489935279
1694563439.494756,135,0.0019181082025170326
1694563442.286047,136,0.0003459152649156749
1694563445.194143,137,0.0005992012447677553
1694563448.0032468,138,0.0009231261792592704
1694563450.8744602,139,0.009787637740373611
1694563453.634686,140,0.0037022512406110764
1694563456.5277057,141,0.007619327399879694
1694563459.2336957,142,0.0003761457628570497
1694563462.4023204,143,0.000922380480915308
1694563465.2801936,144,0.0005023438134230673
1694563468.179011,145,0.0005015912465751171
1694563470.998314,146,0.0005658086156472564
1694563473.9228306,147,0.0011177451815456152
1694563476.8750448,148,0.0005598895950242877
1694563479.8141692,149,0.0005112904473207891
1694563482.6534033,150,0.0007213710341602564
1694563485.5905643,151,0.010884894989430904
1694563488.4630408,152,0.0030128899961709976
1694563491.3999693,153,0.0017099372344091535
1694563494.2710276,154,0.0018658775370568037
1694563497.4087176,155,0.00035762283368967474
1694563500.220992,156,0.0007752006058581173
1694563503.260232,157,0.0010504326783120632
1694563506.131858,158,0.0011427289573475718
1694563509.1105535,159,0.0016446287045255303
1694563511.882202,160,0.0019507792312651873
1694563515.0666723,161,0.0005227175424806774
1694563517.8443172,162,0.0011365063255652785
1694563520.7811708,163,0.0023103116545826197
1694563523.5772347,164,0.0007003507344052196
1694563526.618894,165,0.0010717997793108225
1694563529.4528894,166,0.0012366907903924584
1694563532.358311,167,0.0006525811040773988
1694563535.2276747,168,0.0008503870340064168
1694563538.1384068,169,0.0010140981758013368
1694563540.9647644,170,0.001737152342684567
1694563543.9537127,171,0.0020064034033566713
1694563546.8259313,172,0.0036092535592615604
1694563549.8286536,173,0.0018281821394339204
1694563552.745594,174,0.002396881813183427
1694563555.6388273,175,0.00037452796823345125
1694563558.5315313,176,0.0007126498385332525
1694563561.4871078,177,0.0008437629439868033
1694563564.3321779,178,0.0016022484051063657
1694563567.193627,179,0.0036330062430351973
1694563570.0230522,180,0.0005034218193031847
1694563572.814161,181,0.0014994207303971052
1694563575.6200953,182,0.0005384858814068139
1694563578.427475,183,0.0008751288405619562
1694563581.3905826,184,0.001086805248633027
1694563584.291576,185,0.0015649298438802361
1694563587.1278055,186,0.00031142140505835414
1694563589.953039,187,0.0008685152279213071
1694563592.7983356,188,0.0027348671574145555
1694563595.6652067,189,0.0005002273828722537
1694563598.663591,190,0.0015407175524160266
1694563601.459295,191,0.00043318787356838584
1694563604.38957,192,0.0006772098713554442
1694563607.2302117,193,0.001678620115853846
1694563610.086502,194,0.0006303652771748602
1694563612.9776776,195,0.0011157827684655786
1694563615.8472521,196,0.0008990453206934035
1694563618.687292,197,0.001313585788011551
1694563621.6274168,198,0.004031647928059101
1694563624.447979,199,0.006935741286724806
1694563627.368165,200,0.00037505425279960036
1694563630.2037241,201,0.0008928058086894453
1694563633.0594137,202,0.0011543744476512074
1694563635.8563604,203,0.00039186381036415696
1694563638.7853224,204,0.0009652814478613436
1694563641.557422,205,0.0012885695323348045
1694563644.5358906,206,0.0015629566041752696
1694563647.3451555,207,0.0037936726585030556
1694563650.1602592,208,0.0026400196366012096
1694563653.0571012,209,0.005365350283682346
1694563655.9189315,210,0.000563798239454627
1694563658.9043934,211,0.0009906175546348095
1694563661.748456,212,0.0011394290486350656
1694563664.5951374,213,0.0008030947647057474
1694563667.6715455,214,0.0009187019895762205
1694563670.4997973,215,0.0017209382494911551
1694563673.321482,216,0.0004853571008425206
1694563676.1701717,217,0.0014140981948003173
1694563679.0885394,218,0.0007113253232091665
1694563681.9435303,219,0.0010732579976320267
1694563684.9151556,220,0.0012968394439667463
1694563687.8324535,221,0.0014254569541662931
1694563690.7864487,222,0.002985262544825673
1694563693.5774546,223,0.0008339977357536554
1694563696.5135508,224,0.0011631955858319998
1694563699.2636576,225,0.00032046789419837296
1694563702.1749902,226,0.0007478469633497298
1694563704.980978,227,0.0018074128311127424
1694563708.010804,228,0.0022975446190685034
1694563710.8229227,229,0.0005118482513353229
1694563713.8168156,230,0.0008562633884139359
1694563716.6104925,231,0.0009616248426027596
1694563719.5789196,232,0.0011602649465203285
1694563722.3778467,233,0.000753796542994678
1694563725.1709325,234,0.0011454994091764092
1694563727.9942465,235,0.001366127165965736
1694563730.939719,236,0.00046046145143918693
1694563733.9011643,237,0.0005998023552820086
1694563736.8178163,238,0.000641694525256753
1694563739.6785352,239,0.00044496171176433563
1694563742.568754,240,0.0005421109963208437
