Wall time,Step,Value
1694255111.646326,0,0.9535465240478516
1694255129.8978443,1,0.9765710830688477
1694255146.5575192,2,0.9801716804504395
1694255161.7960496,3,0.9786731600761414
1694255177.3620367,4,0.9955264925956726
1694255193.711475,5,0.9954169988632202
1694255209.4763632,6,0.9832897782325745
1694255224.806525,7,0.9910510182380676
1694255239.946094,8,0.992337167263031
1694255256.7952812,9,0.9375341534614563
1694255271.984894,10,0.9934178590774536
1694255287.344858,11,0.9937744140625
1694255302.2504072,12,0.9917489290237427
1694255318.8101993,13,0.9712983965873718
1694255334.258164,14,0.9896971583366394
1694255349.8603208,15,0.9873565435409546
1694255366.2913246,16,0.9978151321411133
1694255381.5700169,17,0.9963893890380859
1694255396.7368772,18,0.9963544607162476
1694255411.7858417,19,0.9898698925971985
1694255428.2740235,20,0.9917962551116943
1694255443.8658385,21,0.9943473935127258
1694255458.8305745,22,0.9917172789573669
1694255475.3028347,23,0.9722303152084351
1694255490.5134606,24,0.9952970147132874
1694255505.811263,25,0.9941371083259583
1694255520.9756894,26,0.9878838062286377
1694255537.1908865,27,0.9923372268676758
1694255552.7647285,28,0.9919748306274414
1694255567.8059947,29,0.9946293234825134
1694255584.2731051,30,0.9944857358932495
1694255599.2345989,31,0.9941510558128357
1694255614.6359775,32,0.956249475479126
1694255629.6218054,33,0.9921423196792603
1694255646.1194887,34,0.9912823438644409
1694255661.734976,35,0.9705027937889099
1694255677.2430913,36,0.9920387268066406
1694255692.3059344,37,0.9919916987419128
1694255708.590085,38,0.9917191863059998
1694255724.052217,39,0.9825392961502075
1694255739.2770524,40,0.9938874840736389
1694255755.7967384,41,0.9936345815658569
1694255771.1198885,42,0.9902143478393555
1694255785.9927866,43,0.9986724257469177
1694255801.5091314,44,0.9988552927970886
1694255818.0537198,45,0.9979373216629028
1694255833.4293435,46,0.9670147895812988
1694255848.3667104,47,0.9913989901542664
1694255864.8618135,48,0.9934052228927612
1694255880.4433892,49,0.9912725687026978
1694255895.319044,50,0.9935017228126526
1694255910.6818793,51,0.9959116578102112
1694255927.262645,52,0.9970080256462097
1694255942.9148874,53,0.9944676160812378
1694255958.1582837,54,0.9845709800720215
1694255975.0120163,55,0.9943257570266724
1694255990.9578888,56,0.9929465055465698
1694256006.0156627,57,0.9949082136154175
1694256021.529863,58,0.9698686599731445
1694256038.171513,59,0.9967781901359558
1694256053.6913052,60,0.994195282459259
1694256068.8901775,61,0.9955210089683533
1694256085.5234172,62,0.9575784802436829
1694256101.418823,63,0.9873921275138855
1694256116.536659,64,0.9872671365737915
1694256131.962571,65,0.9851897954940796
1694256148.5179784,66,0.984488308429718
1694256165.5041301,67,0.9931626319885254
1694256180.5896869,68,0.9925248026847839
1694256197.1734843,69,0.9919464588165283
1694256212.7374465,70,0.9869222044944763
1694256227.2769976,71,0.9931777119636536
