Wall time,Step,Value
1694263822.6908922,547,0.990380585193634
1694263837.1528254,548,0.9907598495483398
1694263852.1303108,549,0.991032063961029
1694263867.6184723,550,0.9546836018562317
1694263883.0646298,551,0.9826911687850952
1694263897.8662083,552,0.9888765811920166
1694263913.0072808,553,0.9900793433189392
1694263928.7831242,554,0.9720062613487244
1694263943.9432292,555,0.9745460152626038
1694263959.0462575,556,0.9849409461021423
1694263974.0114644,557,0.9840787053108215
1694263990.1458406,558,0.985924243927002
1694264004.9538803,559,0.9923264980316162
1694264020.1211634,560,0.995147168636322
1694264035.6244118,561,0.9973663091659546
1694264050.838812,562,0.9593613743782043
1694264065.9768076,563,0.9837356805801392
1694264081.3027794,564,0.940031111240387
1694264097.5480418,565,0.9869123101234436
1694264112.297736,566,0.9884127378463745
1694264127.2476957,567,0.973743200302124
1694264143.9194894,568,0.9928125739097595
1694264159.9154859,569,0.9892675280570984
1694264174.8317256,570,0.9919375777244568
1694264189.8356857,571,0.9687336087226868
1694264205.9955134,572,0.9834084510803223
1694264220.6239793,573,0.9851905703544617
1694264235.435814,574,0.9824996590614319
1694264251.3539734,575,0.9523810148239136
1694264266.4467084,576,0.9846581816673279
1694264281.5121493,577,0.9869621396064758
1694264296.609191,578,0.9879286885261536
1694264312.687984,579,0.9832148551940918
1694264327.4480996,580,0.9854587316513062
1694264342.364736,581,0.9877298474311829
1694264358.0628593,582,0.959466814994812
1694264373.4457567,583,0.9754952192306519
1694264388.1743531,584,0.984325647354126
1694264403.6610408,585,0.9814017415046692
1694264419.16808,586,0.9927840828895569
1694264433.915909,587,0.993614912033081
1694264448.7296906,588,0.9932306408882141
1694264464.4834356,589,0.9958009123802185
1694264479.7517488,590,0.9958972930908203
1694264494.984928,591,0.956413745880127
1694264510.4636097,592,0.9772918820381165
1694264526.036581,593,0.9832106828689575
1694264540.5982826,594,0.9955164790153503
1694264555.5982082,595,0.993000328540802
1694264571.1501935,596,0.9565915465354919
1694264586.4371464,597,0.9682765007019043
1694264601.402806,598,0.9783724546432495
1694264616.9621887,599,0.9796891212463379
1694264631.3341782,600,0.9800156950950623
1694264646.9582438,601,0.9771468043327332
1694264661.8050478,602,0.9874051809310913
1694264676.8822548,603,0.987052321434021
1694264691.6538024,604,0.9903580546379089
1694264707.7327986,605,0.9946712851524353
1694264723.126914,606,0.9925252199172974
1694264737.6473947,607,0.9506016373634338
1694264753.2993133,608,0.9792998433113098
1694264768.0260637,609,0.9846553206443787
